,Shape,Carat Weight,Color,Clarity,Cut,Certification,Depth %,Table %,Polish,Symmetry,Cut Grade,Measurements,Length to Width,Girdle,Culet,Fluorescence,Stock Number,Price
13791,Round,1.50 ct.,F,VS2,Super Ideal,GIA,62.1 %,59 %,Excellent,Excellent,Excellent,7.24x7.29x4.51 mm,1.01,n/a,None,Medium,D113087653,"$11,641"
13792,Round,1.20 ct.,F,VVS2,Super Ideal,GIA,62.8 %,58 %,Excellent,Excellent,Excellent,6.76x6.80x4.26 mm,1.01,Medium - Sl. Thick,None,None,D113838055,"$11,647"
13793,Round,1.80 ct.,D,SI2,Super Ideal,GIA,62.1 %,57 %,Excellent,Excellent,Excellent,7.73 x 7.77 x 4.82 mm,1.01,n/a,None,Medium,D113270752,"$11,648"
13794,Round,1.33 ct.,E,VS2,Super Ideal,GIA,62.3 %,59 %,Excellent,Excellent,Excellent,7.01x7.05x4.38 mm,1.01,Medium - Sl. Thick,None,None,D113331672,"$11,650"
13795,Round,1.36 ct.,E,VS2,Super Ideal,GIA,62.4 %,56 %,Excellent,Excellent,Excellent,7.04x7.09x4.41 mm,1.01,n/a,None,None,D113096666,"$11,655"
13796,Round,1.30 ct.,D,VVS2,Super Ideal,GIA,63.2 %,57 %,Excellent,Excellent,Excellent,6.90x6.95x4.38 mm,1.01,Medium - Sl. Thick,None,Faint,D113587971,"$11,655"
13797,Round,1.50 ct.,F,SI1,Super Ideal,GIA,63.2 %,56 %,Excellent,Excellent,Excellent,7.24 x 7.28 x 4.58 mm,1.01,n/a,None,None,D113839058,"$11,656"
13798,Round,1.72 ct.,J,VVS2,Super Ideal,GIA,62.0 %,59 %,Excellent,Excellent,Excellent,7.66x7.6x4.73 mm,1.01,n/a,n/a,None,D113475628,"$11,662"
13799,Round,1.50 ct.,H,IF,Super Ideal,GIA,63.0 %,58 %,Excellent,Excellent,Excellent,7.24x7.29x4.58 mm,1.01,n/a,None,Medium,D113619757,"$11,668"
13800,Round,1.02 ct.,D,IF,Super Ideal,GIA,62.5 %,57 %,Excellent,Excellent,Excellent,6.39 x 6.44 x 4.01 mm,1.01,n/a,None,Strong,D113023832,"$11,670"
13801,Round,1.58 ct.,E,SI1,Super Ideal,GIA,62.6 %,58 %,Excellent,Excellent,Excellent,7.37x7.41x4.63 mm,1.01,Medium - Sl. Thick,None,Medium,D113682777,"$11,677"
13802,Round,1.70 ct.,H,SI1,Super Ideal,GIA,62.7 %,56 %,Excellent,Excellent,Excellent,7.57x7.61x4.76 mm,1.01,n/a,None,None,D113277953,"$11,684"
13803,Round,1.33 ct.,F,VS1,Super Ideal,GIA,62.1 %,57 %,Excellent,Excellent,Excellent,7.01x7.05x4.37 mm,1.01,n/a,None,None,D113276608,"$11,692"
13804,Round,1.50 ct.,I,VVS2,Super Ideal,GIA,62.7 %,58 %,Excellent,Excellent,Excellent,7.27x7.29x4.56 mm,1.00,Medium - Sl. Thick,None,None,D113573911,"$11,697"
