,Shape,Carat Weight,Color,Clarity,Cut,Certification,Depth %,Table %,Polish,Symmetry,Cut Grade,Measurements,Length to Width,Girdle,Culet,Fluorescence,Stock Number,Price
205,Round,0.30 ct.,E,SI1,Very Good,GIA,64.4 %,52 %,Excellent,Excellent,Good,4.21x4.23x2.72 mm,1.00,Thin - Sl. Thick,None,Medium,D112821447,$549
206,Round,0.40 ct.,K,VS2,Very Good,GIA,65.4 %,58 %,Excellent,Very Good,Good,4.58x4.6x3 mm,1.00,Sl. Thick - Thick,None,Medium,D113088833,$549
207,Round,0.30 ct.,H,SI1,Excellent,GIA,61.6 %,60 %,Very Good,Very Good,Very Good,4.22x4.28x2.62 mm,1.01,n/a,n/a,None,D113657438,$549
208,Round,0.30 ct.,F,SI2,Ideal,GIA,60.9 %,60 %,Very Good,Excellent,Excellent,4.31x4.33x2.63 mm,1.00,Thin - Sl. Thick,None,Faint,D113847812,$549
209,Round,0.35 ct.,J,SI1,Excellent,GIA,64.0 %,57 %,Excellent,Very Good,Very Good,4.47x4.41x2.84 mm,1.01,Sl. Thick - Thick,None,Faint,D112196819,$551
210,Round,0.35 ct.,H,SI2,Ideal,GIA,59.9 %,58 %,Very Good,Very Good,Excellent,4.59x4.63x2.76 mm,1.01,n/a,n/a,None,D113460528,$551
211,Round,0.41 ct.,J,VS2,Excellent,GIA,64.4 %,57 %,Excellent,Very Good,Very Good,4.68x4.66x3.01 mm,1.00,Sl. Thick - Thick,None,None,D112885307,$552
212,Round,0.31 ct.,I,VS1,Excellent,GIA,59.7 %,62 %,Very Good,Excellent,Excellent,4.37x4.4x2.62 mm,1.01,n/a,None,Strong,D113262019,$552
213,Round,0.30 ct.,E,SI1,Good,GIA,62.7 %,63 %,Good,Good,Very Good,4.21x4.25x2.65 mm,1.01,Medium - Thick,None,None,D113849466,$552
214,Round,0.27 ct.,F,SI2,Ideal,GIA,60.9 %,61 %,Excellent,Excellent,Excellent,4.22x4.20x2.56 mm,1.00,Thin - Sl. Thick,None,None,D111984033,$553
215,Round,0.34 ct.,K,IF,Excellent,GIA,60.9 %,62 %,Excellent,Excellent,Very Good,4.49x4.52x2.75 mm,1.01,n/a,None,None,D112738628,$553
216,Round,0.36 ct.,J,SI2,Excellent,GIA,64.0 %,58 %,Excellent,Very Good,Very Good,4.42x4.46x2.84 mm,1.01,n/a,n/a,None,D112810558,$553
217,Round,0.40 ct.,K,VS2,Good,GIA,64.9 %,56 %,Very Good,Good,Good,4.53x4.56x2.95 mm,1.01,Sl. Thick - V. Thick,None,Faint,D112882733,$553
218,Round,0.30 ct.,F,SI2,Very Good,GIA,59.1 %,61 %,Very Good,Very Good,Very Good,4.35x4.37x2.57 mm,1.00,Sl. Thick,None,None,D113091297,$553
219,Round,0.30 ct.,H,SI1,Ideal,GIA,63.7 %,55 %,Excellent,Excellent,Very Good,4.21x4.23x2.69 mm,1.00,Sl. Thick - Thick,n/a,None,D113227249,$553
220,Round,0.30 ct.,E,SI2,Ideal,GIA,60.3 %,62 %,Excellent,Excellent,Excellent,4.34x4.36x2.62 mm,1.00,Thin - Medium,None,None,D113589440,$553
