,Shape,Carat Weight,Color,Clarity,Cut,Certification,Depth %,Table %,Polish,Symmetry,Cut Grade,Measurements,Length to Width,Girdle,Culet,Fluorescence,Stock Number,Price
33,Round,0.30 ct.,J,VVS2,Super Ideal,GIA,60.7 %,60 %,Excellent,Excellent,Excellent,4.35x4.34x2.64 mm,1.00,n/a,None,None,D113357589,$614
34,Round,0.34 ct.,I,VS1,Super Ideal,GIA,62.4 %,57 %,Excellent,Excellent,Excellent,4.44x4.46x2.78 mm,1.00,Medium - Sl. Thick,None,None,D113709931,$614
35,Round,0.31 ct.,D,SI2,Super Ideal,GIA,60.6 %,59 %,Very Good,Excellent,Excellent,4.37x4.38x2.65 mm,1.00,n/a,None,None,D112806637,$615
36,Round,0.40 ct.,K,SI1,Super Ideal,GIA,62.3 %,56 %,Excellent,Excellent,Excellent,4.71x4.72x2.94 mm,1.00,Medium,None,None,D112970075,$615
37,Round,0.33 ct.,D,SI2,Ideal,GIA,60.6 %,61 %,Excellent,Excellent,Excellent,4.45x4.47x2.70 mm,1.00,Medium - Sl. Thick,None,Faint,D113588180,$615
38,Round,0.31 ct.,F,SI2,Super Ideal,GIA,60.4 %,60 %,Excellent,Excellent,Excellent,4.38x4.40x2.65 mm,1.00,Medium - Sl. Thick,None,None,D113847810,$615
39,Round,0.30 ct.,I,IF,Super Ideal,GIA,62.6 %,56 %,Excellent,Excellent,Excellent,4.29 x 4.31 x 2.70 mm,1.00,n/a,None,None,D112597523,$616
40,Round,0.31 ct.,F,SI1,Super Ideal,GIA,61.8 %,58 %,Very Good,Excellent,Excellent,4.34x4.31x2.67 mm,1.01,Medium - Sl. Thick,n/a,None,D113498285,$616
41,Round,0.30 ct.,D,SI1,Super Ideal,GIA,62.8 %,56 %,Excellent,Very Good,Excellent,4.26x4.31x2.69 mm,1.01,Medium - Sl. Thick,None,None,D113786820,$616
42,Round,0.30 ct.,I,VS2,Super Ideal,GIA,62.2 %,56 %,Excellent,Excellent,Excellent,4.28x4.3x2.67 mm,1.00,n/a,n/a,None,D113232285,$618
43,Round,0.30 ct.,H,VS1,Super Ideal,GIA,61.8 %,58 %,Very Good,Excellent,Excellent,4.31x4.35x2.68 mm,1.01,Thin - Sl. Thick,None,Faint,D113589312,$618
44,Round,0.40 ct.,J,SI1,Good,GIA,57.9 %,64 %,Good,Very Good,Good,4.81x4.85x2.79 mm,1.01,Thin - Sl. Thick,None,None,D113847594,$618
45,Round,0.30 ct.,G,SI2,Super Ideal,GIA,61.8 %,58 %,Very Good,Excellent,Excellent,4.28x4.3x2.65 mm,1.00,n/a,None,Faint,D112885832,$619
46,Round,0.30 ct.,F,VS2,Good,GIA,60.0 %,68 %,Very Good,Good,Fair,4.27x4.18x2.53 mm,1.02,n/a,None,None,D113337133,$619
47,Round,0.30 ct.,I,VVS1,Very Good,GIA,65.1 %,57 %,Excellent,Very Good,Good,4.13x4.19x2.71 mm,1.01,n/a,n/a,None,D113657258,$619
48,Round,0.36 ct.,H,SI2,Super Ideal,GIA,62.0 %,57 %,Excellent,Excellent,Excellent,4.57x4.59x2.84 mm,1.00,n/a,None,Faint,D112737661,$621
49,Round,0.33 ct.,F,SI1,Super Ideal,GIA,62.2 %,58 %,Excellent,Excellent,Excellent,4.42x4.44x2.76 mm,1.00,Medium - Sl. Thick,None,Faint,D113519374,$621
50,Round,0.30 ct.,I,VS2,Super Ideal,GIA,60.6 %,58 %,Excellent,Excellent,Excellent,4.34 x 4.37 x 2.64 mm,1.01,n/a,None,None,D113838825,$621
51,Round,0.30 ct.,F,SI2,Super Ideal,GIA,60.7 %,59 %,Excellent,Excellent,Excellent,4.36x4.37x2.65 mm,1.00,Medium,None,None,D112737738,$622
52,Round,0.30 ct.,J,VVS2,Super Ideal,GIA,61.9 %,56 %,Excellent,Excellent,Excellent,4.31x2.67x4.32 mm,1.61,Medium - Sl. Thick,None,None,D113437560,$622
53,Round,0.40 ct.,G,SI2,Super Ideal,GIA,62.3 %,57 %,Excellent,Very Good,Excellent,4.69x4.73x2.93 mm,1.01,Medium - Sl. Thick,None,None,D113694764,$622
54,Round,0.40 ct.,H,SI2,Very Good,GIA,63.9 %,57 %,Good,Very Good,Very Good,4.64x4.61x2.96 mm,1.01,Sl. Thick - Thick,None,None,D112110111,$623
55,Round,0.37 ct.,J,VVS1,Excellent,GIA,64.2 %,57 %,Excellent,Excellent,Very Good,4.45x4.49x2.87 mm,1.01,Sl. Thick - Thick,None,Strong,D113039015,$623
56,Round,0.30 ct.,D,VS2,Very Good,GIA,58.9 %,66 %,Excellent,Very Good,Very Good,4.30 x 4.33 x 2.54 mm,1.01,n/a,None,Faint,D113289759,$623
57,Round,0.30 ct.,I,VVS1,Excellent,GIA,63.4 %,57 %,Excellent,Very Good,Good,4.15x4.17x2.64 mm,1.00,n/a,n/a,None,D113701942,$623
58,Round,0.40 ct.,K,VS2,Excellent,GIA,64.5 %,56 %,Excellent,Excellent,Very Good,4.59x4.63x2.97 mm,1.01,Medium - Thick,None,Faint,D112330410,$625
59,Round,0.30 ct.,E,SI1,Ideal,GIA,63.5 %,59 %,Excellent,Excellent,Very Good,4.25x4.21x2.69 mm,1.01,Sl. Thick - Thick,None,Faint,D113232831,$625
60,Round,0.27 ct.,G,VVS1,Super Ideal,GIA,62.8 %,58 %,Excellent,Excellent,Excellent,4.11x4.15x2.59 mm,1.01,n/a,n/a,None,D113581614,$625
61,Round,0.30 ct.,H,VS1,Ideal,GIA,61.3 %,58 %,Excellent,Very Good,Very Good,4.29x4.35x2.65 mm,1.01,Ex. Thin - Sl. Thick,None,Medium,D113709929,$625
62,Round,0.40 ct.,K,VS1,Super Ideal,GIA,62.4 %,58 %,Excellent,Excellent,Excellent,4.69x4.71x2.93 mm,1.00,Sl. Thick,None,None,D112745359,$626
63,Round,0.23 ct.,E,VVS2,Ideal,GIA,59.1 %,60 %,Excellent,Excellent,Excellent,4.01x4.02x2.37 mm,1.00,n/a,n/a,None,D113681637,$626
64,Round,0.38 ct.,J,VS1,Good,GIA,58.9 %,64 %,Very Good,Good,Very Good,4.71x4.73x2.78 mm,1.00,Thin - Sl. Thick,None,None,D112885582,$628
65,Round,0.30 ct.,D,VS1,Excellent,GIA,63.2 %,61 %,Excellent,Very Good,Very Good,4.20 x 4.24 x 2.67 mm,1.01,n/a,None,Faint,D113500676,$628
66,Round,0.27 ct.,F,VVS2,Super Ideal,GIA,60.4 %,58 %,Excellent,Excellent,Excellent,4.16x4.19x2.52 mm,1.01,Medium - Sl. Thick,n/a,Medium,D113668034,$628
67,Round,0.35 ct.,I,VVS2,Very Good,GIA,64.1 %,59 %,Very Good,Very Good,Very Good,4.38x4.42x2.82 mm,1.01,Sl. Thick - Thick,None,Strong,D112882251,$629
68,Round,0.35 ct.,J,VVS2,Super Ideal,GIA,61.4 %,60 %,Excellent,Excellent,Excellent,4.49x4.53x2.77 mm,1.01,n/a,None,None,D113093562,$629
69,Round,0.31 ct.,H,VVS1,Super Ideal,GIA,61.9 %,58 %,Excellent,Excellent,Excellent,4.36x4.38x2.71 mm,1.00,Medium - Sl. Thick,None,Faint,D113589018,$629
