Carat Weight,Color,Clarity,Cut,Depth %,Table %,Polish,Symmetry,Cut Grade,Length to Width,Culet,Fluorescence,Price
0.3,1,6,3,62.2,61.0,2,2,2,1.0,1,1,612
0.4,6,8,3,63.7,57.0,2,2,2,1.0,1,2,612
0.4,6,8,5,65.3,55.0,3,2,3,1.01,1,1,612
0.34,6,5,1,62.4,57.0,1,1,1,1.0,1,0,614
0.4,6,8,3,63.1,60.0,1,2,2,1.01,1,0,614
0.3,7,4,1,60.7,60.0,1,1,1,1.0,1,0,614
0.33,6,7,1,62.4,56.0,1,1,1,1.0,1,0,614
0.38,8,6,1,62.1,57.0,1,1,1,1.01,1,0,614
0.33,6,7,1,62.4,56.0,1,1,1,1.0,1,0,614
0.3,7,4,1,60.7,60.0,1,1,1,1.0,1,0,614
0.34,6,5,1,62.4,57.0,1,1,1,1.0,1,0,614
0.3,1,8,1,61.7,57.0,1,1,1,1.01,1,1,614
0.31,1,8,1,60.6,59.0,2,1,1,1.0,1,0,615
0.31,3,8,1,60.4,60.0,1,1,1,1.0,1,0,615
0.25,1,6,1,60.1,60.0,1,1,1,1.0,0,0,615
0.33,1,8,2,60.6,61.0,1,1,1,1.0,1,1,615
0.31,4,7,1,62.6,58.0,1,2,1,1.0,0,0,615
0.4,8,7,1,62.3,56.0,1,1,1,1.0,1,0,615
0.4,7,6,4,58.2,55.0,2,2,2,1.01,2,2,615
0.31,1,8,1,60.6,59.0,2,1,1,1.0,1,0,615
0.23,2,2,1,61.9,58.0,1,1,1,1.01,1,1,615
0.4,8,7,1,62.3,56.0,1,1,1,1.0,1,0,615
0.33,1,8,2,60.6,61.0,1,1,1,1.0,1,1,615
0.31,3,8,1,60.4,60.0,1,1,1,1.0,1,0,615
0.3,6,2,1,62.6,56.0,1,1,1,1.0,1,0,616
0.3,6,2,1,62.6,56.0,1,1,1,1.0,1,0,616
0.31,3,7,1,61.8,58.0,2,1,1,1.01,0,0,616
0.3,6,6,3,58.3,61.0,1,1,1,1.01,0,1,616
0.3,1,7,1,62.8,56.0,1,2,1,1.01,1,0,616
0.31,3,7,1,61.8,58.0,2,1,1,1.01,0,0,616
0.23,2,2,1,62.8,57.0,1,1,1,1.01,1,1,616
0.3,1,7,1,62.8,56.0,1,2,1,1.01,1,0,616
0.3,6,4,1,61.6,60.0,1,1,1,1.01,1,0,616
0.3,6,6,1,62.2,56.0,1,1,1,1.0,0,0,618
0.27,2,5,1,63.0,57.0,1,1,1,1.0,1,1,618
0.4,7,7,5,57.9,64.0,3,2,3,1.01,1,0,618
0.4,7,7,5,57.9,64.0,3,2,3,1.01,1,0,618
0.3,5,5,1,61.8,58.0,2,1,1,1.01,1,1,618
0.3,6,6,1,62.2,56.0,1,1,1,1.0,0,0,618
0.3,1,7,1,59.7,59.0,2,1,1,1.01,1,0,618
0.3,5,5,1,61.8,58.0,2,1,1,1.01,1,1,618
0.4,7,8,3,61.5,60.0,2,2,2,1.01,1,0,618
0.44,8,6,5,64.9,59.0,3,3,3,1.01,1,1,619
0.31,7,4,1,61.5,59.0,1,1,1,1.0,0,0,619
0.3,4,7,1,60.8,59.0,1,1,1,1.0,0,0,619
0.3,6,3,4,65.1,57.0,1,2,3,1.01,0,0,619
0.3,3,6,5,60.0,68.0,2,3,4,1.02,1,0,619
0.3,4,8,1,61.8,58.0,2,1,1,1.0,1,1,619
0.3,6,3,4,65.1,57.0,1,2,3,1.01,0,0,619
0.3,4,8,1,61.8,58.0,2,1,1,1.0,1,1,619
0.3,3,6,5,60.0,68.0,2,3,4,1.02,1,0,619
0.3,7,5,1,59.6,60.0,1,1,1,1.01,1,0,619
0.33,3,7,1,62.2,58.0,1,1,1,1.0,1,1,621
0.36,5,8,1,62.0,57.0,1,1,1,1.0,1,1,621
0.36,5,8,1,62.0,57.0,1,1,1,1.0,1,1,621
0.3,6,6,1,61.2,60.0,1,1,1,1.01,1,1,621
0.33,3,7,1,62.2,58.0,1,1,1,1.0,1,1,621
0.3,6,4,1,62.8,56.0,1,1,1,1.0,1,0,621
0.3,6,6,1,60.6,58.0,1,1,1,1.01,1,0,621
0.3,6,6,1,60.6,58.0,1,1,1,1.01,1,0,621
0.3,7,4,1,61.9,56.0,1,1,1,1.61,1,0,622
0.37,8,5,2,60.7,61.0,1,1,1,1.01,1,0,622
0.4,8,5,4,65.4,56.0,2,2,3,1.01,1,1,622
0.3,3,8,1,62.1,58.0,1,1,1,1.0,1,0,622
0.3,3,8,1,60.7,59.0,1,1,1,1.0,1,0,622
0.31,1,7,2,63.1,59.0,1,2,2,1.01,0,3,622
0.4,4,8,1,62.3,57.0,1,2,1,1.01,1,0,622
0.4,4,8,1,62.3,57.0,1,2,1,1.01,1,0,622
0.3,7,4,1,61.9,56.0,1,1,1,1.61,1,0,622
0.3,3,8,1,60.7,59.0,1,1,1,1.0,1,0,622
0.3,1,6,4,58.9,66.0,1,2,2,1.01,1,1,623
0.4,6,7,3,64.2,55.0,1,2,2,1.01,0,0,623
0.37,7,3,3,64.2,57.0,1,1,2,1.01,1,3,623
0.32,3,7,1,62.8,59.0,1,1,1,1.0,1,0,623
0.4,5,8,4,63.9,57.0,3,2,2,1.01,1,0,623
0.3,6,3,3,63.4,57.0,1,2,3,1.0,0,0,623
0.4,5,8,4,63.9,57.0,3,2,2,1.01,1,0,623
0.37,7,3,3,64.2,57.0,1,1,2,1.01,1,3,623
0.3,1,6,4,58.9,66.0,1,2,2,1.01,1,1,623
0.3,6,3,3,63.4,57.0,1,2,3,1.0,0,0,623
0.4,8,3,1,62.0,55.0,1,1,2,1.0,0,2,623
0.3,2,7,2,63.5,59.0,1,1,2,1.01,1,1,625
0.26,1,5,1,62.1,54.0,1,1,1,1.0,1,0,625
0.27,4,3,1,62.8,58.0,1,1,1,1.01,0,0,625
0.31,3,7,1,62.0,58.0,1,1,1,1.0,0,3,625
0.3,5,5,2,61.3,58.0,1,2,2,1.01,1,2,625
0.31,3,7,1,61.4,56.0,1,1,1,1.0,0,3,625
0.4,8,6,3,64.5,56.0,1,1,2,1.01,1,1,625
0.3,5,5,2,61.3,58.0,1,2,2,1.01,1,2,625
0.4,8,4,2,60.1,61.0,1,2,1,1.01,1,3,625
0.4,8,6,3,64.5,56.0,1,1,2,1.01,1,1,625
0.3,2,7,2,63.5,59.0,1,1,2,1.01,1,1,625
0.27,4,3,1,62.8,58.0,1,1,1,1.01,0,0,625
0.23,2,4,2,59.1,60.0,1,1,1,1.0,0,0,626
0.23,2,4,2,58.5,60.0,1,1,1,1.0,1,0,626
0.4,8,5,1,62.4,58.0,1,1,1,1.0,1,0,626
0.4,8,5,1,62.4,58.0,1,1,1,1.0,1,0,626
0.23,2,4,2,59.1,60.0,1,1,1,1.0,0,0,626
0.29,3,5,3,61.8,60.0,1,3,2,1.01,1,0,626
0.35,4,7,1,62.7,56.0,1,1,1,1.0,1,0,628
0.3,1,5,3,63.2,61.0,1,2,2,1.01,1,1,628
0.4,7,7,2,59.8,58.0,1,2,2,1.01,0,3,628
0.27,3,4,1,60.4,58.0,1,1,1,1.01,0,2,628
0.27,3,4,1,60.4,58.0,1,1,1,1.01,0,2,628
0.3,1,5,3,63.2,61.0,1,2,2,1.01,1,1,628
0.38,7,5,5,58.9,64.0,2,3,2,1.0,1,0,628
