,Shape,Price,Carat,Color,Clarity,Polish,Symmetry,Fluorescence,Depth,Table,L/W,Price/Ct,Culet,Stock No.,Delivery Date,Cut
1655,Princess,$912,0.51,F,SI1,Excellent,Good,None,76.1,70.0,1.05,"$1,788",None,LD11818378,Apr 16,Good
1656,Princess,$926,0.52,E,SI2,Excellent,Very Good,None,75.6,73.0,1.07,"$1,781",None,LD11671776,Apr 16,Good
1657,Princess,$930,0.52,F,SI1,Excellent,Very Good,None,78.9,73.0,1.00,"$1,788",None,LD11818381,Apr 16,Good
1658,Princess,$936,0.44,D,VVS1,Excellent,Very Good,None,73.6,74.0,1.01,"$2,127",None,LD14436421,Apr 16,Very Good
1659,Princess,$944,0.42,E,VS1,Excellent,Very Good,None,74.8,73.0,1.05,"$2,248",None,LD01008441,Apr 16,Very Good
1660,Princess,$946,0.43,G,VVS2,Excellent,Good,None,74.1,70.0,1.02,"$2,200",None,LD04608684,Apr 16,Very Good
1661,Princess,$962,0.52,F,SI1,Very Good,Very Good,Faint,76.8,73.0,1.02,"$1,850",None,LD05760557,Apr 16,Good
1662,Princess,$964,0.50,F,VVS2,Excellent,Good,None,74.6,79.0,1.03,"$1,928",None,LD05611807,Apr 16,Good
1663,Princess,$964,0.50,F,VVS2,Very Good,Good,None,77.2,71.0,1.02,"$1,928",None,LD11671752,Apr 16,Good
1664,Princess,$971,0.53,G,VS2,Excellent,Very Good,None,78.8,76.0,1.07,"$1,832",None,LD11671781,Apr 16,Good
1665,Princess,$973,0.51,D,SI1,Excellent,Very Good,None,78.5,75.0,1.03,"$1,908",None,LD11818372,Apr 16,Good
1666,Princess,$975,0.51,D,SI2,Very Good,Good,None,74.8,79.0,1.10,"$1,912",None,LD05611640,Apr 16,Good
1667,Princess,$975,0.51,D,SI2,Excellent,Very Good,None,78.1,75.0,1.10,"$1,912",None,LD11671761,Apr 16,Good
1668,Princess,$975,0.51,D,SI2,Very Good,Very Good,None,77.6,73.0,1.06,"$1,912",None,LD11671762,Apr 16,Good
1669,Princess,$976,0.46,D,VS1,Very Good,Very Good,Medium Blue,76.8,64.0,1.02,"$2,122",None,LD11671745,Apr 16,Good
1670,Cushion,$979,0.50,H,SI1,Excellent,Very Good,None,65.6,57.0,1.16,"$1,958",None,LD02710080,Apr 16,Very Good
1671,Princess,$983,0.51,G,VVS1,Excellent,Good,None,76.4,72.0,1.09,"$1,927",None,LD11671773,Apr 16,Good
1672,Princess,$988,0.50,E,VS2,Very Good,Very Good,Medium Blue,75.5,73.0,1.02,"$1,976",None,LD11671751,Apr 16,Good
1673,Princess,$992,0.52,D,SI1,Excellent,Good,None,78.7,72.0,1.10,"$1,908",None,LD11818380,Apr 16,Good
1674,Princess,$994,0.52,D,SI2,Very Good,Very Good,None,78.0,70.0,1.08,"$1,912",None,LD11671775,Apr 16,Good
1675,Princess,$994,0.52,D,SI2,Excellent,Very Good,None,75.6,73.0,1.07,"$1,912",None,LD13015681,Apr 16,Good
1676,Princess,$997,0.60,E,SI2,Excellent,Very Good,None,75.1,77.0,1.06,"$1,662",None,LD11341528,Apr 16,Good
1677,Princess,$900,0.50,E,SI1,Excellent,Very Good,None,74.5,72.0,1.00,"$1,800",None,LD15151307,Apr 19,Very Good
1678,Princess,$903,0.56,I,VS2,Good,Good,None,73.8,71.0,1.13,"$1,612",None,LD13242660,Apr 19,Very Good
1679,Princess,$903,0.55,J,VS2,Excellent,Very Good,None,71.9,70.0,1.01,"$1,642",None,LD13563424,Apr 19,Very Good
1680,Radiant,$904,0.50,I,VS1,Excellent,Very Good,None,69.3,65.0,1.38,"$1,808",None,LD15531159,Apr 19,Very Good
1681,Radiant,$904,0.50,I,VS1,Very Good,Excellent,None,66.2,64.0,1.25,"$1,808",None,LD15559591,Apr 19,Very Good
1682,Princess,$905,0.58,E,SI1,Very Good,Good,Faint,76.9,77.0,1.06,"$1,560",None,LD15409381,Apr 19,Good
1683,Radiant,$909,0.50,I,VS2,Very Good,Very Good,None,66.9,65.0,1.29,"$1,818",None,LD14002079,Apr 19,Very Good
1684,Cushion,$912,0.50,I,VVS1,Excellent,Very Good,None,70.4,57.0,1.04,"$1,824",None,LD15541939,Apr 19,Good
